Date,Open,High,Low,Close,Adj Close,Volume
2015-08-06,355.869995,355.869995,10.000000,100.199997,100.199997,53584
2015-08-07,100.199997,434.029999,100.199997,320.200012,320.200012,722558
2015-08-08,320.200012,436.679993,275.410004,355.239990,355.239990,737119
2015-08-09,355.239990,439.559998,345.179993,384.619995,384.619995,585917
2015-08-10,384.619995,410.850006,230.889999,253.940002,253.940002,1479695
2015-08-11,253.940002,329.709991,206.779999,213.770004,213.770004,1801016
2015-08-12,213.770004,239.059998,130.869995,147.949997,147.949997,2327517
2015-08-13,147.949997,154.009995,114.269997,147.190002,147.190002,2233101
2015-08-14,147.190002,173.820007,140.350006,157.309998,157.309998,1419622
2015-08-15,157.309998,240.440002,151.190002,178.919998,178.919998,2402981
2015-08-16,178.919998,224.820007,161.320007,215.190002,215.190002,1371839
2015-08-17,215.190002,234.080002,187.369995,194.169998,194.169998,1349182
2015-08-18,194.169998,199.919998,175.619995,178.949997,178.949997,1170645
2015-08-19,178.949997,190.080002,152.699997,158.399994,158.399994,1954437
2015-08-20,158.399994,174.190002,147.710007,161.660004,161.660004,1334037
2015-08-21,161.660004,171.029999,151.080002,165.449997,165.449997,640337
2015-08-22,165.449997,180.339996,158.910004,168.320007,168.320007,1155471
2015-08-23,168.320007,179.600006,163.110001,170.009995,170.009995,684943
2015-08-24,170.009995,199.360001,168.119995,189.110001,189.110001,1003401
2015-08-25,189.110001,209.250000,186.710007,194.289993,194.289993,908166
2015-08-26,194.289993,200.240005,191.059998,196.809998,196.809998,544775
2015-08-27,196.809998,200.960007,191.899994,195.270004,195.270004,553371
2015-08-28,195.270004,199.559998,192.380005,193.570007,193.570007,306308
2015-08-29,193.570007,196.729996,166.059998,172.149994,172.149994,955307
2015-08-30,172.149994,190.770004,160.179993,169.839996,169.839996,1022400
2015-08-31,169.839996,171.789993,163.399994,168.320007,168.320007,524481
2015-09-01,168.320007,181.880005,167.389999,177.490005,177.490005,645488
2015-09-02,177.490005,190.550003,173.339996,179.600006,179.600006,537510
2015-09-03,179.600006,185.220001,174.130005,180.929993,180.929993,347421
2015-09-04,180.929993,182.179993,174.160004,176.960007,176.960007,294680
2015-09-05,176.960007,186.289993,174.979996,184.330002,184.330002,341612
2015-09-06,184.330002,195.470001,182.820007,192.830002,192.830002,353601
2015-09-07,192.830002,198.729996,190.509995,197.820007,197.820007,293158
2015-09-08,197.820007,200.520004,189.000000,196.699997,196.699997,288837
2015-09-09,196.699997,212.399994,195.729996,204.919998,204.919998,503817
2015-09-10,204.919998,263.709991,203.330002,245.940002,245.940002,1844125
2015-09-11,245.940002,247.589996,212.399994,226.300003,226.300003,705057
2015-09-12,226.300003,257.529999,223.759995,245.460007,245.460007,647261
2015-09-13,245.460007,266.950012,240.380005,262.950012,262.950012,771042
2015-09-14,262.950012,266.600006,229.940002,243.250000,243.250000,714254
2015-09-15,243.250000,255.169998,241.309998,253.160004,253.160004,634160
2015-09-16,253.160004,283.450012,251.639999,262.880005,262.880005,966757
2015-09-17,262.880005,281.209991,260.209991,273.149994,273.149994,529808
2015-09-18,273.149994,278.630005,252.020004,260.209991,260.209991,417687
2015-09-19,260.209991,265.179993,244.440002,245.759995,245.759995,501379
2015-09-20,245.759995,259.130005,238.889999,250.940002,250.940002,445907
2015-09-21,250.940002,273.899994,244.679993,256.609985,256.609985,499425
2015-09-22,256.609985,261.779999,253.610001,256.869995,256.869995,215374
2015-09-23,256.869995,327.980011,252.839996,287.109985,287.109985,945087
2015-09-24,287.109985,356.380005,283.130005,317.260010,317.260010,1131567
2015-09-25,317.260010,335.910004,297.179993,300.750000,300.750000,469286
2015-09-26,300.750000,326.049988,294.899994,322.059998,322.059998,544608
2015-09-27,322.059998,433.839996,319.390015,406.339996,406.339996,2004997
2015-09-28,406.339996,429.369995,339.329987,358.290009,358.290009,1373844
2015-09-29,358.290009,376.929993,312.209991,328.730011,328.730011,832229
2015-09-30,328.730011,384.470001,318.779999,347.709991,347.709991,834241
2015-10-01,347.709991,365.760010,341.760010,350.260010,350.260010,296102
2015-10-02,350.260010,353.730011,334.450012,347.459991,347.459991,228153
2015-10-03,347.459991,361.010010,342.700012,357.779999,357.779999,152946
2015-10-04,357.779999,388.049988,348.920013,381.970001,381.970001,331312
2015-10-05,381.970001,409.170013,373.690002,375.519989,375.519989,385789
2015-10-06,375.519989,408.000000,368.730011,397.299988,397.299988,319267
2015-10-07,397.299988,414.589996,377.929993,390.929993,390.929993,473726
2015-10-08,390.929993,391.239990,350.880005,376.079987,376.079987,553115
2015-10-09,376.079987,392.309998,371.609985,391.390015,391.390015,220844
2015-10-10,391.390015,396.980011,381.970001,390.470001,390.470001,133894
2015-10-11,390.470001,394.010010,374.250000,391.079987,391.079987,167554
2015-10-12,391.079987,417.359985,387.899994,412.369995,412.369995,448554
2015-10-13,412.369995,529.380005,405.190002,493.579987,493.579987,1698217
2015-10-14,493.579987,495.290009,440.140015,455.170013,455.170013,671725
2015-10-15,455.170013,502.769989,444.440002,494.320007,494.320007,440468
2015-10-16,494.320007,515.460022,470.809998,492.609985,492.609985,511043
2015-10-17,492.609985,514.669983,484.970001,505.820007,505.820007,246953
2015-10-18,505.820007,550.059998,502.010010,539.369995,539.369995,470613
2015-10-19,539.369995,629.330017,523.559998,619.200012,619.200012,752937
2015-10-20,619.200012,642.669983,543.770020,606.429993,606.429993,1240008
2015-10-21,606.429993,645.159973,426.260010,467.070007,467.070007,1622791
2015-10-22,467.070007,552.789978,434.220001,532.770020,532.770020,1548712
2015-10-23,532.770020,538.789978,480.079987,492.369995,492.369995,446011
2015-10-24,492.369995,512.030029,420.170013,442.089996,442.089996,905101
2015-10-26,442.089996,476.190002,351.369995,384.470001,384.470001,1470369
2015-10-27,384.470001,409.670013,322.059998,338.980011,338.980011,1886576
2015-10-28,338.980011,377.500000,274.119995,301.019989,301.019989,2017493
2015-10-29,301.019989,325.950012,254.070007,269.470001,269.470001,1599196
2015-10-30,269.470001,349.279999,243.550003,314.859985,314.859985,1918765
2015-10-31,314.859985,356.000000,307.500000,348.549988,348.549988,542320
2015-11-01,348.549988,360.100006,301.390015,307.600006,307.600006,466656
2015-11-02,307.600006,383.140015,297.890015,372.720001,372.720001,1004673
2015-11-03,372.720001,449.239990,342.000000,398.250000,398.250000,1822122
2015-11-04,398.250000,698.320007,391.540009,461.890015,461.890015,3549846
2015-11-05,461.890015,485.440002,388.649994,430.109985,430.109985,1293798
2015-11-06,430.109985,446.829987,375.230011,403.390015,403.390015,940829
2015-11-07,403.390015,453.929993,400.320007,420.170013,420.170013,923885
2015-11-08,420.170013,423.010010,361.660004,364.559998,364.559998,937966
2015-11-09,364.559998,411.019989,329.600006,379.940002,379.940002,1877894
2015-11-10,379.940002,390.170013,351.369995,364.700012,364.700012,859762
2015-11-11,364.700012,440.720001,354.989990,390.779999,390.779999,1451923
2015-11-12,390.779999,423.190002,359.970001,374.109985,374.109985,865477
2015-11-13,374.109985,394.790009,365.230011,374.109985,374.109985,407132
2015-11-14,374.109985,382.260010,362.450012,374.670013,374.670013,209995
2015-11-15,374.670013,376.510010,347.459991,352.489990,352.489990,245725
2015-11-16,352.489990,372.859985,339.670013,352.239990,352.239990,503627
2015-11-17,352.239990,372.019989,322.480011,335.570007,335.570007,1048986
2015-11-18,335.570007,353.230011,327.980011,337.839996,337.839996,588661
2015-11-19,337.839996,351.859985,330.029999,342.000000,342.000000,308996
2015-11-20,342.000000,358.040009,337.609985,345.299988,345.299988,629365
2015-11-21,345.299988,351.119995,328.950012,334.339996,334.339996,439932
2015-11-22,334.339996,339.329987,326.899994,335.679993,335.679993,355342
2015-11-23,335.679993,352.730011,331.130005,341.760010,341.760010,432006
2015-11-24,341.760010,354.739990,337.149994,349.899994,349.899994,434257
2015-11-25,349.899994,384.619995,348.070007,379.510010,379.510010,775023
2015-11-26,379.510010,439.369995,372.859985,400.799988,400.799988,1017085
2015-11-27,400.799988,423.190002,396.670013,414.250000,414.250000,433814
2015-11-28,414.250000,414.769989,379.220001,388.950012,388.950012,485931
2015-11-29,388.950012,429.739990,387.750000,426.619995,426.619995,483092
2015-11-30,426.619995,450.859985,410.510010,431.970001,431.970001,858077
2015-12-01,431.970001,465.119995,403.059998,414.940002,414.940002,692675
2015-12-02,414.940002,459.350006,401.119995,436.109985,436.109985,567671
2015-12-03,436.109985,469.260010,433.089996,438.019989,438.019989,615493
2015-12-04,438.019989,453.929993,419.459991,429.920013,429.920013,273906
2015-12-05,429.920013,458.720001,425.890015,453.929993,453.929993,247297
2015-12-06,453.929993,479.619995,446.630005,470.369995,470.369995,504129
2015-12-07,470.369995,508.390015,457.250000,495.540009,495.540009,601383
2015-12-08,495.540009,513.080017,482.859985,495.790009,495.790009,500056
2015-12-09,495.790009,550.659973,493.579987,526.869995,526.869995,755822
2015-12-10,526.869995,531.070007,478.239990,493.100006,493.100006,410819
2015-12-11,493.100006,536.479980,467.730011,496.029999,496.029999,711593
2015-12-12,496.029999,513.869995,415.970001,445.239990,445.239990,1121185
2015-12-13,445.239990,472.369995,435.350006,454.959991,454.959991,243319
2015-12-14,454.959991,460.190002,432.339996,447.029999,447.029999,489577
2015-12-15,447.029999,465.119995,439.750000,456.619995,456.619995,517361
2015-12-16,456.619995,466.640015,449.839996,458.720001,458.720001,294645
2015-12-17,458.720001,504.290009,455.369995,486.619995,486.619995,585052
2015-12-18,486.619995,513.080017,484.029999,506.329987,506.329987,307764
2015-12-19,506.329987,527.150024,503.519989,512.299988,512.299988,345335
2015-12-20,512.299988,512.820007,460.190002,489.239990,489.239990,490069
2015-12-21,489.239990,503.779999,470.369995,490.679993,490.679993,534839
2015-12-22,490.679993,510.730011,480.079987,504.029999,504.029999,434995
2015-12-23,504.029999,521.919983,499.250000,520.020020,520.020020,369912
2015-12-24,520.020020,537.349976,513.869995,529.940002,529.940002,361534
2015-12-25,529.940002,530.500000,518.940002,524.380005,524.380005,154450
2015-12-26,524.380005,524.929993,477.100006,488.040009,488.040009,378179
2015-12-27,488.040009,498.750000,482.859985,496.279999,496.279999,72760
2015-12-28,496.279999,509.160004,488.519989,501.000000,501.000000,157291
2015-12-29,501.000000,509.679993,494.559998,497.269989,497.269989,221604
2015-12-30,497.269989,501.500000,452.690002,472.589996,472.589996,610473
2015-12-31,472.589996,477.100006,432.529999,462.529999,462.529999,677255
2016-01-01,462.529999,467.730011,453.929993,464.679993,464.679993,185524
2016-01-02,464.679993,465.980011,449.440002,465.549988,465.549988,258820
2016-01-03,465.549988,466.200012,434.399994,444.250000,444.250000,394655
2016-01-04,444.250000,473.480011,442.480011,455.369995,455.369995,311584
2016-01-05,455.369995,461.250000,446.029999,453.720001,453.720001,207104
2016-01-06,453.720001,461.250000,442.869995,451.059998,451.059998,308160
2016-01-07,451.059998,485.910004,441.109985,481.459991,481.459991,611120
2016-01-08,481.459991,489.959991,454.750000,459.559998,459.559998,506027
2016-01-09,459.559998,462.750000,449.029999,455.170013,455.170013,205396
2016-01-10,455.170013,457.670013,440.920013,448.829987,448.829987,359003
2016-01-11,448.829987,450.649994,418.589996,428.269989,428.269989,851063
2016-01-12,428.269989,428.450012,344.000000,386.549988,386.549988,2377342
2016-01-13,386.549988,402.739990,370.510010,382.260010,382.260010,822230
