Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-06-18 05-PM,ETHBTC,0.07712,0.07765,0.07693,0.07693,744.47,57.49
2018-06-18 04-PM,ETHBTC,0.07685,0.07724,0.07632,0.07712,1136.5,87.25
2018-06-18 03-PM,ETHBTC,0.07695,0.07697,0.07684,0.07685,211.89,16.3
2018-06-18 02-PM,ETHBTC,0.0768,0.07695,0.0768,0.07695,476.05,36.61
2018-06-18 01-PM,ETHBTC,0.0769,0.0769,0.0768,0.0768,103.66,7.97
2018-06-18 12-PM,ETHBTC,0.07671,0.07691,0.0767,0.0769,206.4,15.86
2018-06-18 11-AM,ETHBTC,0.07678,0.07681,0.07663,0.07671,62.09,4.76
2018-06-18 10-AM,ETHBTC,0.07677,0.07683,0.07672,0.07678,39.28,3.02
2018-06-18 09-AM,ETHBTC,0.07691,0.07697,0.07658,0.07677,98.27,7.54
2018-06-18 08-AM,ETHBTC,0.07681,0.07692,0.07678,0.07691,65,5
2018-06-18 07-AM,ETHBTC,0.07678,0.07681,0.07669,0.07681,41.2,3.16
2018-06-18 06-AM,ETHBTC,0.0768,0.07683,0.07678,0.07678,54.39,4.18
2018-06-18 05-AM,ETHBTC,0.07691,0.07691,0.07671,0.0768,104.87,8.05
2018-06-18 04-AM,ETHBTC,0.07693,0.077,0.07689,0.07691,46.28,3.56
2018-06-18 03-AM,ETHBTC,0.07688,0.07693,0.07688,0.07693,55.04,4.23
2018-06-18 02-AM,ETHBTC,0.07653,0.07688,0.07653,0.07688,172.65,13.24
2018-06-18 01-AM,ETHBTC,0.07644,0.07659,0.07638,0.07653,68.78,5.26
2018-06-18 12-AM,ETHBTC,0.07699,0.07704,0.0763,0.07644,712.99,54.64
2018-06-17 11-PM,ETHBTC,0.07693,0.077,0.07673,0.07699,457.29,35.14
2018-06-17 10-PM,ETHBTC,0.07689,0.07693,0.07688,0.07693,44.27,3.4
2018-06-17 09-PM,ETHBTC,0.07685,0.07696,0.07681,0.07689,35.54,2.73
2018-06-17 08-PM,ETHBTC,0.07679,0.07694,0.07678,0.07685,57.43,4.42
2018-06-17 07-PM,ETHBTC,0.0769,0.0769,0.0767,0.07679,26.16,2.01
2018-06-17 06-PM,ETHBTC,0.07685,0.07691,0.07681,0.0769,68.52,5.27
2018-06-17 05-PM,ETHBTC,0.0769,0.0769,0.07669,0.07685,44.04,3.38
2018-06-17 04-PM,ETHBTC,0.077,0.077,0.0769,0.0769,44.73,3.44
2018-06-17 03-PM,ETHBTC,0.07694,0.07703,0.0769,0.077,57.14,4.4
2018-06-17 02-PM,ETHBTC,0.07677,0.07696,0.07677,0.07694,25.63,1.97
2018-06-17 01-PM,ETHBTC,0.0767,0.0769,0.0767,0.07677,56.62,4.35
2018-06-17 12-PM,ETHBTC,0.07693,0.07694,0.07657,0.0767,64.86,4.98
2018-06-17 11-AM,ETHBTC,0.07677,0.07693,0.07672,0.07693,31.36,2.41
2018-06-17 10-AM,ETHBTC,0.07701,0.07701,0.07669,0.07677,180.91,13.9
2018-06-17 09-AM,ETHBTC,0.07722,0.07722,0.0768,0.07701,123.1,9.48
2018-06-17 08-AM,ETHBTC,0.07674,0.07729,0.07666,0.07722,449.39,34.6
2018-06-17 07-AM,ETHBTC,0.07695,0.07695,0.07673,0.07674,105.43,8.1
2018-06-17 06-AM,ETHBTC,0.07712,0.07713,0.07695,0.07695,18.48,1.42
2018-06-17 05-AM,ETHBTC,0.07739,0.0774,0.07712,0.07712,22.41,1.73
2018-06-17 04-AM,ETHBTC,0.07751,0.07752,0.07717,0.07739,18.44,1.43
2018-06-17 03-AM,ETHBTC,0.07701,0.07751,0.07701,0.07751,97.62,7.54
2018-06-17 02-AM,ETHBTC,0.0767,0.0771,0.07659,0.07701,181.5,13.95
2018-06-17 01-AM,ETHBTC,0.07654,0.0767,0.07647,0.0767,12.57,0.963
2018-06-17 12-AM,ETHBTC,0.07662,0.07662,0.07653,0.07654,3.6,0.276
2018-06-16 11-PM,ETHBTC,0.07658,0.07669,0.07641,0.07662,84.88,6.5
2018-06-16 10-PM,ETHBTC,0.07669,0.07669,0.07646,0.07658,65.3,5
2018-06-16 09-PM,ETHBTC,0.07647,0.07669,0.07643,0.07669,7.63,0.5838
2018-06-16 08-PM,ETHBTC,0.07659,0.07659,0.07641,0.07647,31.59,2.42
2018-06-16 07-PM,ETHBTC,0.07673,0.07674,0.07615,0.07659,170.8,13.06
2018-06-16 06-PM,ETHBTC,0.07658,0.07679,0.07658,0.07673,26.08,2
2018-06-16 05-PM,ETHBTC,0.07681,0.07681,0.07654,0.07658,87.97,6.74
2018-06-16 04-PM,ETHBTC,0.0765,0.07702,0.0764,0.07681,342.36,26.26
2018-06-16 03-PM,ETHBTC,0.0766,0.0766,0.07626,0.0765,99.39,7.6
2018-06-16 02-PM,ETHBTC,0.07656,0.07661,0.07638,0.0766,126.91,9.71
2018-06-16 01-PM,ETHBTC,0.07695,0.07695,0.07634,0.07656,281.29,21.57
2018-06-16 12-PM,ETHBTC,0.07721,0.07722,0.07695,0.07695,145.21,11.19
2018-06-16 11-AM,ETHBTC,0.07696,0.07733,0.07689,0.07721,62.61,4.84
2018-06-16 10-AM,ETHBTC,0.07683,0.07719,0.07663,0.07696,123.55,9.49
2018-06-16 09-AM,ETHBTC,0.0769,0.07701,0.07677,0.07683,150.67,11.59
2018-06-16 08-AM,ETHBTC,0.07703,0.07703,0.07678,0.0769,74.39,5.72
2018-06-16 07-AM,ETHBTC,0.07693,0.07709,0.07693,0.07703,55.07,4.24
2018-06-16 06-AM,ETHBTC,0.07711,0.07716,0.07667,0.07693,119.89,9.22
2018-06-16 05-AM,ETHBTC,0.07704,0.0773,0.07703,0.07711,27.82,2.15
2018-06-16 04-AM,ETHBTC,0.07668,0.07714,0.07666,0.07704,65.24,5.02
2018-06-16 03-AM,ETHBTC,0.07669,0.07679,0.0766,0.07668,41.93,3.22
2018-06-16 02-AM,ETHBTC,0.07658,0.07673,0.07658,0.07669,17.28,1.32
2018-06-16 01-AM,ETHBTC,0.07632,0.07658,0.07585,0.07658,101.43,7.72
2018-06-16 12-AM,ETHBTC,0.07633,0.07637,0.07618,0.07632,97.68,7.45
2018-06-15 11-PM,ETHBTC,0.07631,0.07634,0.07571,0.07633,133.63,10.15
2018-06-15 10-PM,ETHBTC,0.0763,0.0764,0.0761,0.07631,133.41,10.17
2018-06-15 09-PM,ETHBTC,0.07598,0.07633,0.07598,0.0763,38.49,2.93
2018-06-15 08-PM,ETHBTC,0.07592,0.07624,0.07551,0.07598,182.32,13.84
2018-06-15 07-PM,ETHBTC,0.07632,0.07632,0.07592,0.07592,57.81,4.4
2018-06-15 06-PM,ETHBTC,0.07667,0.07667,0.07627,0.07632,73.72,5.63
2018-06-15 05-PM,ETHBTC,0.07702,0.07702,0.07612,0.07667,283.98,21.73
2018-06-15 04-PM,ETHBTC,0.07705,0.07767,0.07687,0.07702,427.44,33.04
2018-06-15 03-PM,ETHBTC,0.07624,0.07708,0.07576,0.07705,353.18,27.02
2018-06-15 02-PM,ETHBTC,0.07556,0.07643,0.07526,0.07624,382.86,28.97
2018-06-15 01-PM,ETHBTC,0.07505,0.07556,0.0749,0.07556,483.19,36.3
2018-06-15 12-PM,ETHBTC,0.07599,0.07599,0.07505,0.07505,245.51,18.48
2018-06-15 11-AM,ETHBTC,0.07582,0.07648,0.07572,0.07599,641.22,48.78
2018-06-15 10-AM,ETHBTC,0.07551,0.07582,0.07544,0.07582,159.58,12.06
2018-06-15 09-AM,ETHBTC,0.07635,0.07636,0.07453,0.07551,1109.28,83.49
2018-06-15 08-AM,ETHBTC,0.07686,0.07688,0.0763,0.07635,380.78,29.16
2018-06-15 07-AM,ETHBTC,0.07722,0.07735,0.07675,0.07686,353.78,27.26
2018-06-15 06-AM,ETHBTC,0.07682,0.07749,0.07682,0.07722,361.12,27.81
2018-06-15 05-AM,ETHBTC,0.07668,0.07695,0.07656,0.07682,453.16,34.76
2018-06-15 04-AM,ETHBTC,0.07762,0.07789,0.07652,0.07668,1158.27,89.35
2018-06-15 03-AM,ETHBTC,0.07777,0.07788,0.07751,0.07762,318.14,24.71
2018-06-15 02-AM,ETHBTC,0.07804,0.07804,0.07765,0.07777,257.81,20.07
2018-06-15 01-AM,ETHBTC,0.07803,0.07811,0.07786,0.07804,131.55,10.26
2018-06-15 12-AM,ETHBTC,0.0783,0.07845,0.078,0.07803,207.16,16.21
