Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-06-18 05-PM,ETHUSD,512,525,512,517.23,8474.12,4399024.71
2018-06-18 04-PM,ETHUSD,496.76,515.85,496.03,512,14522.96,7388304.69
2018-06-18 03-PM,ETHUSD,496.99,497.47,495.02,496.76,2042.47,1013494.96
2018-06-18 02-PM,ETHUSD,494.38,497.78,492.93,496.99,2215.21,1097578.38
2018-06-18 01-PM,ETHUSD,493.9,494.96,492.92,494.38,1372.08,677779.98
2018-06-18 12-PM,ETHUSD,492,495,491.99,493.9,1472.56,726263.23
2018-06-18 11-AM,ETHUSD,493.34,493.75,489.12,492,2198.02,1079889.15
2018-06-18 10-AM,ETHUSD,495.98,496,493.17,493.34,886.67,438283.11
2018-06-18 09-AM,ETHUSD,496.91,498.26,494.76,495.98,958.8,475968.38
2018-06-18 08-AM,ETHUSD,493.93,499.17,493.3,496.91,2142.43,1062444.54
2018-06-18 07-AM,ETHUSD,493.29,493.94,492.56,493.93,1046.48,516346.64
2018-06-18 06-AM,ETHUSD,493.16,493.76,492.33,493.29,1544.57,761759.97
2018-06-18 05-AM,ETHUSD,492.91,493.73,491.07,493.16,846.63,417044.13
2018-06-18 04-AM,ETHUSD,493.43,493.99,491.19,492.91,1631.63,804238.15
2018-06-18 03-AM,ETHUSD,495,495.01,493.4,493.43,487.76,241042.78
2018-06-18 02-AM,ETHUSD,491.57,495,490.44,495,1285.75,634075
2018-06-18 01-AM,ETHUSD,489.25,493.98,488,491.57,2689.26,1320613.43
2018-06-18 12-AM,ETHUSD,496.5,496.5,488,489.25,3924.89,1934143.63
2018-06-17 11-PM,ETHUSD,498.77,498.77,493.33,496.5,3667.9,1818107.03
2018-06-17 10-PM,ETHUSD,498.79,499.35,496.5,498.77,1226.07,611122.29
2018-06-17 09-PM,ETHUSD,499.21,499.71,498.3,498.79,756.83,377540.43
2018-06-17 08-PM,ETHUSD,501.28,501.28,498,499.21,1311.23,655136.06
2018-06-17 07-PM,ETHUSD,500.38,502.12,500.2,501.28,1320.49,661902.55
2018-06-17 06-PM,ETHUSD,499.51,501.96,499,500.38,1566.97,784007.91
2018-06-17 05-PM,ETHUSD,499.26,499.98,499.25,499.51,673.09,336277.58
2018-06-17 04-PM,ETHUSD,501.54,502,499.25,499.26,1357.77,680390.76
2018-06-17 03-PM,ETHUSD,497.86,502,497.05,501.54,2225.55,1111443.12
2018-06-17 02-PM,ETHUSD,497.29,499.5,496.63,497.86,910.46,453576.84
2018-06-17 01-PM,ETHUSD,495.54,499.88,495,497.29,1410.9,700415.06
2018-06-17 12-PM,ETHUSD,500,500,495.05,495.54,2140.94,1067275.06
2018-06-17 11-AM,ETHUSD,500,500,498.34,500,1119.45,559287.83
2018-06-17 10-AM,ETHUSD,502.59,502.59,498.12,500,887.16,443666.19
2018-06-17 09-AM,ETHUSD,502.06,503.71,500,502.59,1531.65,767754.79
2018-06-17 08-AM,ETHUSD,500.74,506.95,500.74,502.06,2847.78,1435262.78
2018-06-17 07-AM,ETHUSD,500.01,501.71,500,500.74,1292.74,647472.31
2018-06-17 06-AM,ETHUSD,502.25,502.25,500,500.01,869.17,435646.07
2018-06-17 05-AM,ETHUSD,505.17,506.09,502.25,502.25,788.59,397468.81
2018-06-17 04-AM,ETHUSD,507.82,507.83,503.37,505.17,1172.2,592820.9
2018-06-17 03-AM,ETHUSD,503,507.83,502.99,507.82,1496.85,755593.34
2018-06-17 02-AM,ETHUSD,499.67,504.59,499.67,503,2501.67,1254530.22
2018-06-17 01-AM,ETHUSD,498,499.9,498,499.67,649.99,324677.34
2018-06-17 12-AM,ETHUSD,497.31,499.13,496.99,498,500.91,249368.99
2018-06-16 11-PM,ETHUSD,499.99,499.99,495.15,497.31,2277.08,1133574.02
2018-06-16 10-PM,ETHUSD,500.75,500.75,499.71,499.99,983.73,492203.41
2018-06-16 09-PM,ETHUSD,498.9,500.81,498.9,500.75,1235.42,617506.71
2018-06-16 08-PM,ETHUSD,497.74,499.01,497.17,498.9,1668.18,831593.9
2018-06-16 07-PM,ETHUSD,499.01,499.01,493.2,497.74,1897.87,943372.52
2018-06-16 06-PM,ETHUSD,500.48,501.37,498.37,499.01,1317.25,658005.94
2018-06-16 05-PM,ETHUSD,500.08,502.07,496.9,500.48,2895.56,1447206.6
2018-06-16 04-PM,ETHUSD,486.96,502.81,484.73,500.08,4671.84,2314058.05
2018-06-16 03-PM,ETHUSD,490.99,490.99,484.12,486.96,2831.01,1380217.03
2018-06-16 02-PM,ETHUSD,489.34,491.65,488.78,490.99,1231.69,603820.94
2018-06-16 01-PM,ETHUSD,495.44,495.44,487.02,489.34,3318.6,1627404.48
2018-06-16 12-PM,ETHUSD,498.41,499.84,494.45,495.44,1131.65,562892.54
2018-06-16 11-AM,ETHUSD,497.26,500.31,495.67,498.41,865.18,430722.25
2018-06-16 10-AM,ETHUSD,496.48,501.99,496.4,497.26,1829.1,912434.6
2018-06-16 09-AM,ETHUSD,495.99,497.76,495.46,496.48,931.95,462715.69
2018-06-16 08-AM,ETHUSD,497.45,497.72,494.31,495.99,973.64,482240.85
2018-06-16 07-AM,ETHUSD,497,499,496.97,497.45,757.67,377351.5
2018-06-16 06-AM,ETHUSD,497.66,498.94,494.31,497,1662.66,825771.81
2018-06-16 05-AM,ETHUSD,495.3,499.89,495.3,497.66,1405.94,700057.23
2018-06-16 04-AM,ETHUSD,491.56,498,491.17,495.3,1708.11,846639.92
2018-06-16 03-AM,ETHUSD,494.63,494.63,490.87,491.56,1342.94,660987
2018-06-16 02-AM,ETHUSD,494,495.27,492.92,494.63,1690.29,834796.53
2018-06-16 01-AM,ETHUSD,487.2,494.76,484.95,494,1820.47,891180.96
2018-06-16 12-AM,ETHUSD,487.45,490.85,486.69,487.2,2331.99,1140104.92
2018-06-15 11-PM,ETHUSD,487.4,489.17,482,487.45,4102.9,1993783.79
2018-06-15 10-PM,ETHUSD,494.01,494.24,487.15,487.4,3526.42,1731981.47
2018-06-15 09-PM,ETHUSD,495.08,495.59,492.12,494.01,1650.85,816019.52
2018-06-15 08-PM,ETHUSD,496.51,496.68,489.02,495.08,6503.6,3206501.88
2018-06-15 07-PM,ETHUSD,499.99,500,496.31,496.51,1922.99,956835.24
2018-06-15 06-PM,ETHUSD,502.4,502.41,498.39,499.99,1462.87,731799.4
2018-06-15 05-PM,ETHUSD,505.51,505.51,495.36,502.4,4962.16,2482607.53
2018-06-15 04-PM,ETHUSD,504.2,512.97,503,505.51,4986.63,2529634.5
2018-06-15 03-PM,ETHUSD,498.66,505.5,495.33,504.2,4215.94,2110194.32
2018-06-15 02-PM,ETHUSD,491.81,501,489.57,498.66,3780.34,1862936.24
2018-06-15 01-PM,ETHUSD,487.89,492.99,486.15,491.81,4856.22,2377723.82
2018-06-15 12-PM,ETHUSD,495.99,495.99,486.6,487.89,4307.38,2109694.88
2018-06-15 11-AM,ETHUSD,499.69,507.11,491.2,495.99,4747.83,2366944.63
2018-06-15 10-AM,ETHUSD,498,499.88,495.9,499.69,2276.48,1132576.5
2018-06-15 09-AM,ETHUSD,502.99,503,488,498,6334.99,3133026.6
2018-06-15 08-AM,ETHUSD,505.35,505.69,502.2,502.99,3203.67,1614360.83
2018-06-15 07-AM,ETHUSD,508.54,510.01,503.63,505.35,1746.58,884331.57
2018-06-15 06-AM,ETHUSD,505.28,512,504.81,508.54,2840.91,1442878.7
2018-06-15 05-AM,ETHUSD,503,506.65,500.2,505.28,3270.72,1646347.65
2018-06-15 04-AM,ETHUSD,511.71,512.98,498.01,503,12131.84,6146157.75
2018-06-15 03-AM,ETHUSD,513.08,514.52,511,511.71,3669.96,1882285.47
2018-06-15 02-AM,ETHUSD,513.71,513.71,511,513.08,2981.68,1527706.19
2018-06-15 01-AM,ETHUSD,516.51,516.51,511.77,513.71,4315.63,2218849.59
2018-06-15 12-AM,ETHUSD,519.75,521,514.22,516.51,3094.47,1601301.19
2018-06-14 11-PM,ETHUSD,517.13,519.75,513.94,519.75,3894.46,2013914.96
2018-06-14 10-PM,ETHUSD,519.34,522.78,513.18,517.13,5708.32,2954643.8
2018-06-14 09-PM,ETHUSD,520.04,522.96,518.38,519.34,4756.09,2475110.77
2018-06-14 08-PM,ETHUSD,521.05,526,519.01,520.04,7854.32,4102628.24
2018-06-14 07-PM,ETHUSD,519,521.6,515.6,521.05,8160.29,4229494.98
2018-06-14 06-PM,ETHUSD,512.53,527,511.94,519,16404.98,8515337.22
2018-06-14 05-PM,ETHUSD,505.27,529.34,501.07,512.53,41176.97,21252246.93
2018-06-14 04-PM,ETHUSD,464.03,514.76,464,505.27,30369.98,14884858.66
2018-06-14 03-PM,ETHUSD,473.81,474.54,459.46,464.03,8825.29,4107177.73
2018-06-14 02-PM,ETHUSD,471.97,476.7,471.81,473.81,5032.05,2386461.98
2018-06-14 01-PM,ETHUSD,484,484,470.51,471.97,5995.16,2852292.1
2018-06-14 12-PM,ETHUSD,487.59,487.59,482.01,484,2105.83,1020618.41
2018-06-14 11-AM,ETHUSD,485.48,488.92,485.31,487.59,3342.41,1628735.4
2018-06-14 10-AM,ETHUSD,487,488,483.31,485.48,2928.37,1423642.87
2018-06-14 09-AM,ETHUSD,485.15,488,484.95,487,4160.29,2024418.15
2018-06-14 08-AM,ETHUSD,482.33,490.69,482.33,485.15,3373.27,1641113.88
