Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2016-03-03,ETHJPY,890,1300,890,1098.99,1297.04,1389493.66
2016-03-04,ETHJPY,1098.99,1099,600,1099,746.8,746679.27
2016-03-05,ETHJPY,1099,1300,1060.01,1300,2589.86,3033405.92
2016-03-06,ETHJPY,1300,1300,1249.99,1299.99,532.2,675615.96
2016-03-07,ETHJPY,1299.99,1300,1100,1100,773.84,900632.56
2016-03-08,ETHJPY,1100,1250,1005,1230,653.97,751824.41
2016-03-09,ETHJPY,1230,1300,1170,1300,1282.81,1576555.82
2016-03-10,ETHJPY,1300,1350,1190,1300,780.66,997096.65
2016-03-11,ETHJPY,1300,1349.99,1200,1220,1629,2045702.48
2016-03-12,ETHJPY,1220,1500,1220,1500,788,1069500
2016-03-13,ETHJPY,1500,1600,1500,1600,40,64000
2016-03-14,ETHJPY,1600,1699.99,1370,1699.99,1773.02,2514229.54
2016-03-15,ETHJPY,1699.99,1699.99,1401,1401,2345.7,3391272.9
2016-03-16,ETHJPY,1401,1500,1401,1500,1845.2,2754096
2016-03-17,ETHJPY,1500,1700,1250,1500,6518.14,9210488.84
2016-03-18,ETHJPY,1500,1500,1005,1400,3084.99,3681677.75
2016-03-19,ETHJPY,1400,1500,1400,1500,100,149999.02
2016-03-20,ETHJPY,1500,1500,1499.99,1499.99,20,29999.8
2016-03-21,ETHJPY,1499.99,1499.99,1449.99,1449.99,0.001,1.45
2016-03-22,ETHJPY,1449.99,1499.99,1449.99,1499.99,0.001,1.5
2016-03-23,ETHJPY,1499.99,1500,1350,1350,240,353999
2016-03-24,ETHJPY,1350,1500,1350,1399.99,480,660001.4
2016-03-25,ETHJPY,1399.99,1400,1250,1400,240,316000.4
2016-03-26,ETHJPY,1400,1400,1399.99,1399.99,0.001,1.4
2016-03-27,ETHJPY,1399.99,1399.99,1200,1200,420,504001.4
2016-03-28,ETHJPY,1200,1399.99,1200,1399.99,520,656001.4
2016-03-29,ETHJPY,1399.99,1399.99,1399.99,1399.99,0.001,1.4
2016-03-30,ETHJPY,1399.99,1399.99,1399.99,1399.99,0.001,1.4
2016-03-31,ETHJPY,1399.99,1400,1399.99,1399.99,158,221200.82
2016-04-01,ETHJPY,1399.99,1399.99,1399.99,1399.99,0.001,1.4
2016-04-02,ETHJPY,1399.99,1399.99,1300,1300,40,52201.4
2016-04-03,ETHJPY,1300,1399.99,1300,1399.99,0.001,1.4
2016-04-04,ETHJPY,1399.99,1399.99,1250,1293.73,100.02,126628.37
2016-04-05,ETHJPY,1293.73,1400,1200,1200,89.28,111839.5
2016-04-06,ETHJPY,1200,1299.99,1110.01,1299.99,1.04,1233.23
2016-04-07,ETHJPY,1299.99,1299.99,1299.99,1299.99,0.001,1.3
2016-04-08,ETHJPY,1299.99,1299.99,1070,1109.99,444,480040.87
2016-04-09,ETHJPY,1109.99,1110,1109.99,1109.99,362.5,402372.29
2016-04-10,ETHJPY,1109.99,1110,900,1000,1273.95,1208985.12
2016-04-11,ETHJPY,1000,1109.99,1000,1109.99,0.0002,0.222
2016-04-12,ETHJPY,1109.99,1109.99,850,850,200.6,180510.22
2016-04-13,ETHJPY,850,1100,785,1097,379.03,313760.98
2016-04-14,ETHJPY,1097,1097,1097,1097,0.0002,0.2194
2016-04-15,ETHJPY,1097,1097,1000,1000,0.0002,0.2
2016-04-16,ETHJPY,1000,1000,1000,1000,0.0002,0.2
2016-04-17,ETHJPY,1000,1095.99,1000,1095.99,0.9998,999.82
2016-04-18,ETHJPY,1095.99,1095.99,1095.99,1095.99,0.0002,0.2192
2016-04-19,ETHJPY,1095.99,1095.99,1095.99,1095.99,0.0002,0.2192
2016-04-20,ETHJPY,1106,1106,801,1095.99,2,1897.21
2016-04-21,ETHJPY,1095.99,1095.99,850,850,10,8499.83
2016-04-22,ETHJPY,850,850,850,850,0,0
2016-04-23,ETHJPY,850,850,850,850,0,0
2016-04-24,ETHJPY,850,850,750,750,40,30001
2016-04-25,ETHJPY,750,850,750,850,200,170000
2016-04-26,ETHJPY,850,850,850,850,0,0
2016-04-27,ETHJPY,850,850,850,850,0,0
2016-04-28,ETHJPY,850,850,850,850,0,0
2016-04-29,ETHJPY,850,850,850,850,0,0
2016-04-30,ETHJPY,850,850,850,850,0,0
2016-05-01,ETHJPY,850,850,850,850,0,0
2016-05-02,ETHJPY,850,1099.99,850,1099.99,0.862,948.19
2016-05-03,ETHJPY,1099.99,1099.99,1099.99,1099.99,0,0
2016-05-04,ETHJPY,1099.99,1099.99,1099.99,1099.99,0,0
2016-05-05,ETHJPY,1099.99,1099.99,1099.99,1099.99,0,0
2016-05-06,ETHJPY,1099.99,1099.99,1099.99,1099.99,0,0
2016-05-07,ETHJPY,1099.99,1099.99,1099.99,1099.99,0,0
2016-05-08,ETHJPY,1099.99,1099.99,1050,1099.99,2,2100.04
2016-05-09,ETHJPY,1099.99,1099.99,1099.99,1099.99,2.00E-05,0.022
2016-05-10,ETHJPY,1099.99,1099.99,1099.99,1099.99,2.00E-05,0.022
2016-05-11,ETHJPY,1099.99,1100,1099.99,1100,180,197999.83
2016-05-12,ETHJPY,1100,1200,1100,1200,63.4,70044.22
2016-05-13,ETHJPY,1200,1200,1180,1200,30.64,36155.22
2016-05-14,ETHJPY,1200,1200,1199.99,1199.99,2.00E-05,0.024
2016-05-15,ETHJPY,1199.99,1200,1199.99,1200,20,23999.82
2016-05-16,ETHJPY,1200,1200,1200,1200,200,239999.9
2016-05-17,ETHJPY,1200,1320,1200,1320,200,262000
2016-05-18,ETHJPY,1320,1500,1320,1500,720.94,1053426.7
2016-05-19,ETHJPY,1500,1500,1500,1500,1670,2504997.87
2016-05-20,ETHJPY,1500,1699.99,1200,1699.99,1559.91,2455852.23
