Date,Value
1999-01-04,0.7111
1999-01-05,0.7122
1999-01-06,0.7076
1999-01-07,0.70585
1999-01-08,0.7094
1999-01-11,0.7044
1999-01-12,0.7066
1999-01-13,0.7084
1999-01-14,0.7062
1999-01-15,0.7039
1999-01-18,0.7013
1999-01-19,0.7
1999-01-20,0.7014
1999-01-21,0.7023
1999-01-22,0.7005
1999-01-25,0.6989
1999-01-26,0.6976
1999-01-27,0.6968
1999-01-28,0.6928
1999-01-29,0.691
1999-02-01,0.6904
1999-02-02,0.6888
1999-02-03,0.6925
1999-02-04,0.6894
1999-02-05,0.6885
1999-02-08,0.6888
1999-02-09,0.6911
1999-02-10,0.6954
1999-02-11,0.6975
1999-02-12,0.6917
1999-02-15,0.6895
1999-02-16,0.6854
1999-02-17,0.6873
1999-02-18,0.6871
1999-02-19,0.6838
1999-02-22,0.6789
1999-02-23,0.6796
1999-02-24,0.6883
1999-02-25,0.6888
1999-02-26,0.6873
1999-03-01,0.6829
1999-03-02,0.6764
1999-03-03,0.6723
1999-03-04,0.6759
1999-03-05,0.6737
1999-03-08,0.6776
1999-03-09,0.6754
1999-03-10,0.6746
1999-03-11,0.6694
1999-03-12,0.6686
1999-03-15,0.6739
1999-03-16,0.6703
1999-03-17,0.6744
1999-03-18,0.676
1999-03-19,0.6708
1999-03-22,0.6677
1999-03-23,0.6706
1999-03-24,0.6653
1999-03-25,0.6668
1999-03-26,0.665
1999-03-29,0.6615
1999-03-30,0.6638
1999-03-31,0.6663
1999-04-01,0.669
1999-04-02,0.672
1999-04-05,0.6702
1999-04-06,0.6759
1999-04-07,0.6772
1999-04-08,0.6731
1999-04-09,0.6724
1999-04-12,0.6723
1999-04-13,0.6671
1999-04-14,0.6667
1999-04-15,0.6682
1999-04-16,0.6633
1999-04-19,0.6586
1999-04-20,0.6589
1999-04-21,0.6593
1999-04-22,0.6585
1999-04-23,0.6583
1999-04-26,0.6569
1999-04-27,0.6587
1999-04-28,0.6583
1999-04-29,0.6584
1999-04-30,0.6571
1999-05-03,0.6571
1999-05-04,0.6553
1999-05-05,0.6552
1999-05-06,0.6601
1999-05-07,0.661
1999-05-10,0.6604
1999-05-11,0.6619
1999-05-12,0.6577
1999-05-13,0.656
1999-05-14,0.6601
1999-05-17,0.6598
1999-05-18,0.6592
1999-05-19,0.6569
1999-05-20,0.6591
1999-05-21,0.6583
1999-05-24,0.6617
1999-05-25,0.6634
1999-05-26,0.658
1999-05-27,0.6551
1999-05-28,0.6546
1999-05-31,0.6524
1999-06-01,0.6505
1999-06-02,0.6443
1999-06-03,0.6458
1999-06-04,0.6412
1999-06-07,0.6414
1999-06-08,0.6489
1999-06-09,0.6523
1999-06-10,0.6538
1999-06-11,0.6506
1999-06-14,0.6473
1999-06-15,0.6501
1999-06-16,0.651
1999-06-17,0.6481
1999-06-18,0.6506
1999-06-21,0.6506
1999-06-22,0.6498
1999-06-23,0.6511
1999-06-24,0.6533
1999-06-25,0.6578
1999-06-28,0.6564
1999-06-29,0.6544
1999-06-30,0.6563
1999-07-01,0.6502
1999-07-02,0.6498
1999-07-05,0.6491
1999-07-06,0.6514
1999-07-07,0.6563
1999-07-08,0.6544
1999-07-09,0.6577
1999-07-12,0.6527
1999-07-13,0.6538
1999-07-14,0.6523
1999-07-15,0.6513
1999-07-16,0.6509
1999-07-19,0.6511
1999-07-20,0.6618
1999-07-21,0.6653
1999-07-22,0.6642
1999-07-23,0.6634
1999-07-26,0.6731
1999-07-27,0.668
1999-07-28,0.6683
1999-07-29,0.6665
1999-07-30,0.6598
1999-08-02,0.6591
1999-08-03,0.6588
1999-08-04,0.6627
1999-08-05,0.667
1999-08-06,0.665
1999-08-09,0.6665
1999-08-10,0.6655
1999-08-11,0.6623
1999-08-12,0.6614
1999-08-13,0.6619
1999-08-16,0.6585
1999-08-17,0.6584
1999-08-18,0.6556
1999-08-19,0.6556
1999-08-20,0.659
1999-08-23,0.658
1999-08-24,0.6576
1999-08-25,0.6572
1999-08-26,0.6574
1999-08-27,0.6588
1999-08-30,0.6582
1999-08-31,0.6585
1999-09-01,0.6593
1999-09-02,0.6631
1999-09-03,0.6634
1999-09-06,0.6607
1999-09-07,0.6576
1999-09-08,0.6536
1999-09-09,0.6513
1999-09-10,0.6463
1999-09-13,0.6407
1999-09-14,0.6468
1999-09-15,0.6462
1999-09-16,0.6416
1999-09-17,0.6423
1999-09-20,0.641
1999-09-21,0.6383
1999-09-22,0.6423
1999-09-23,0.639
1999-09-24,0.6374
1999-09-27,0.6327
1999-09-28,0.6362
1999-09-29,0.643
1999-09-30,0.6475
1999-10-01,0.6499
1999-10-04,0.6469
1999-10-05,0.6456
1999-10-06,0.6488
1999-10-07,0.649
1999-10-08,0.6451
1999-10-11,0.6424
1999-10-12,0.6459
1999-10-13,0.6518
1999-10-14,0.6499
1999-10-15,0.6519
1999-10-18,0.6509
1999-10-19,0.6474
1999-10-20,0.646
1999-10-21,0.6446
1999-10-22,0.6426
1999-10-25,0.6433
1999-10-26,0.6413
1999-10-27,0.6392
1999-10-28,0.6415
1999-10-29,0.6393
1999-11-01,0.6413
1999-11-02,0.6382
1999-11-03,0.6361
1999-11-04,0.6389
1999-11-05,0.6397
1999-11-08,0.6412
1999-11-09,0.6415
1999-11-10,0.6416
1999-11-11,0.6414
1999-11-12,0.638
1999-11-15,0.6371
1999-11-16,0.6369
1999-11-17,0.64
1999-11-18,0.6397
1999-11-19,0.6353
1999-11-22,0.6361
1999-11-23,0.6348
1999-11-24,0.6331
1999-11-25,0.6312
1999-11-26,0.6301
1999-11-29,0.6297
1999-11-30,0.6325
1999-12-01,0.6304
1999-12-02,0.6292
1999-12-03,0.6255
1999-12-06,0.631
1999-12-07,0.6302
1999-12-08,0.6294
1999-12-09,0.6261
1999-12-10,0.6247
1999-12-13,0.6238
1999-12-14,0.6215
1999-12-15,0.6241
1999-12-16,0.6286
1999-12-17,0.6287
1999-12-20,0.628
1999-12-21,0.6276
1999-12-22,0.6253
1999-12-23,0.6265
1999-12-24,0.6267
1999-12-27,0.6267
1999-12-28,0.6249
1999-12-29,0.6226
1999-12-30,0.6217
2000-01-03,0.6246
2000-01-04,0.6296
2000-01-05,0.6324
2000-01-06,0.6302
2000-01-07,0.6262
2000-01-10,0.6249
2000-01-11,0.6251
2000-01-12,0.6253
2000-01-13,0.6255
2000-01-14,0.6221
2000-01-17,0.618
2000-01-18,0.6174
2000-01-19,0.6172
2000-01-20,0.6127
2000-01-21,0.6113
2000-01-24,0.6062
2000-01-25,0.6083
2000-01-26,0.6094
2000-01-27,0.6089
2000-01-28,0.6051
2000-01-31,0.6047
2000-02-01,0.602
2000-02-02,0.6051
2000-02-03,0.6086
2000-02-04,0.6195
2000-02-07,0.6134
2000-02-08,0.6182
2000-02-09,0.6169
2000-02-10,0.6126
2000-02-11,0.6136
2000-02-14,0.6201
2000-02-15,0.6159
2000-02-16,0.6129
2000-02-17,0.6158
2000-02-18,0.6144
2000-02-21,0.6161
2000-02-22,0.6226
2000-02-23,0.6252
2000-02-24,0.6188
2000-02-25,0.6155
2000-02-28,0.6072
2000-02-29,0.6134
2000-03-01,0.6123
2000-03-02,0.614
2000-03-03,0.6117
2000-03-06,0.6111
2000-03-07,0.6096
2000-03-08,0.6043
2000-03-09,0.6086
2000-03-10,0.6095
2000-03-13,0.6146
2000-03-14,0.6123
2000-03-15,0.614
2000-03-16,0.6155
2000-03-17,0.6146
2000-03-20,0.6201
2000-03-21,0.6176
2000-03-22,0.6125
2000-03-23,0.6104
2000-03-24,0.6115
2000-03-27,0.6087
2000-03-28,0.6088
2000-03-29,0.6032
2000-03-30,0.601
2000-03-31,0.5985
2000-04-03,0.6
2000-04-04,0.5971
2000-04-05,0.6088
2000-04-06,0.6075
2000-04-07,0.6047
2000-04-10,0.6064
2000-04-11,0.6055
2000-04-12,0.6038
2000-04-13,0.5999
2000-04-14,0.6016
2000-04-17,0.6026
2000-04-18,0.6003
2000-04-19,0.5983
2000-04-20,0.5934
2000-04-25,0.5896
2000-04-26,0.5827
2000-04-27,0.5827
2000-04-28,0.5794
2000-05-02,0.5827
2000-05-03,0.5711
2000-05-04,0.5818
2000-05-05,0.5838
2000-05-08,0.5851
2000-05-09,0.5847
2000-05-10,0.5976
2000-05-11,0.6051
2000-05-12,0.596
2000-05-15,0.6045
2000-05-16,0.6045
2000-05-17,0.5987
2000-05-18,0.6039
2000-05-19,0.5988
2000-05-22,0.605
2000-05-23,0.6151
2000-05-24,0.6165
2000-05-25,0.61
2000-05-26,0.6209
2000-05-29,0.6223
2000-05-30,0.6226
2000-05-31,0.6225
2000-06-01,0.624
2000-06-02,0.6251
2000-06-05,0.623
2000-06-06,0.6264
2000-06-07,0.6276
2000-06-08,0.6359
2000-06-09,0.631
2000-06-12,0.6303
2000-06-13,0.633
2000-06-14,0.6402
2000-06-15,0.6316
2000-06-16,0.6329
2000-06-19,0.6373
2000-06-20,0.6326
2000-06-21,0.6307
2000-06-22,0.6244
2000-06-23,0.625
2000-06-26,0.6215
2000-06-27,0.6281
2000-06-28,0.6253
2000-06-29,0.6257
2000-06-30,0.6323
2000-07-03,0.6281
2000-07-04,0.6271
2000-07-05,0.6313
2000-07-06,0.631
2000-07-07,0.6278
2000-07-10,0.628
2000-07-11,0.63
2000-07-12,0.627
2000-07-13,0.6224
2000-07-14,0.6227
2000-07-17,0.627
2000-07-18,0.6241
2000-07-19,0.6156
2000-07-20,0.6165
2000-07-21,0.6185
2000-07-24,0.6151
2000-07-25,0.6201
2000-07-26,0.6189
2000-07-27,0.6198
2000-07-28,0.615
2000-07-31,0.6179
2000-08-01,0.6172
2000-08-02,0.6143
2000-08-03,0.607
2000-08-04,0.6008
2000-08-07,0.6032
2000-08-08,0.5996
2000-08-09,0.5978
2000-08-10,0.6018
2000-08-11,0.6061
2000-08-14,0.5984
2000-08-15,0.6059
2000-08-16,0.6052
2000-08-17,0.6096
2000-08-18,0.6099
2000-08-21,0.6051
2000-08-22,0.6038
2000-08-23,0.6027
2000-08-24,0.6087
2000-08-25,0.6122
2000-08-28,0.612
2000-08-29,0.6139
2000-08-30,0.6148
2000-08-31,0.6132
2000-09-01,0.6135
2000-09-04,0.6154
2000-09-05,0.6124
2000-09-06,0.6087
2000-09-07,0.6047
2000-09-08,0.6124
2000-09-11,0.6078
2000-09-12,0.6145
2000-09-13,0.6142
2000-09-14,0.6133
2000-09-15,0.6125
2000-09-18,0.6096
2000-09-19,0.6084
2000-09-20,0.5989
2000-09-21,0.6004
2000-09-22,0.6063
2000-09-25,0.6028
2000-09-26,0.6028
2000-09-27,0.6045
2000-09-28,0.6025
2000-09-29,0.5967
2000-10-02,0.5991
2000-10-03,0.6006
2000-10-04,0.6003
2000-10-05,0.6027
2000-10-06,0.6014
2000-10-09,0.6006
2000-10-10,0.5992
2000-10-11,0.5968
2000-10-12,0.5921
2000-10-13,0.5868
2000-10-16,0.5884
2000-10-17,0.5908
2000-10-18,0.5873
2000-10-19,0.5826
2000-10-20,0.5832
2000-10-23,0.576
2000-10-24,0.577
2000-10-25,0.5771
2000-10-26,0.5807
2000-10-27,0.5804
2000-10-30,0.5812
2000-10-31,0.5809
2000-11-01,0.5912
2000-11-02,0.5956
2000-11-03,0.6013
2000-11-06,0.5995
2000-11-07,0.601
2000-11-08,0.6006
2000-11-09,0.6017
2000-11-10,0.6059
2000-11-13,0.6016
2000-11-14,0.5995
2000-11-15,0.6031
2000-11-16,0.6018
2000-11-17,0.5999
2000-11-20,0.5955
2000-11-21,0.5968
2000-11-22,0.5959
2000-11-23,0.6
2000-11-24,0.5994
2000-11-27,0.5966
2000-11-28,0.6019
2000-11-29,0.6069
2000-11-30,0.6128
2000-12-01,0.6095
2000-12-04,0.6137
2000-12-05,0.6101
2000-12-06,0.6152
2000-12-07,0.6192
2000-12-08,0.6128
2000-12-11,0.6049
2000-12-12,0.6064
2000-12-13,0.604
2000-12-14,0.603
2000-12-15,0.6088
2000-12-18,0.6074
2000-12-19,0.6072
2000-12-20,0.6173
2000-12-21,0.618
2000-12-22,0.6242
2000-12-27,0.6254
2000-12-28,0.6238
2000-12-29,0.6241
2001-01-02,0.6315
2001-01-03,0.6325
2001-01-04,0.6326
2001-01-05,0.6349
2001-01-08,0.6328
2001-01-09,0.6314
2001-01-10,0.6308
2001-01-11,0.635
2001-01-12,0.6408
2001-01-15,0.6388
2001-01-16,0.6407
2001-01-17,0.6366
2001-01-18,0.6385
2001-01-19,0.638
2001-01-22,0.639
2001-01-23,0.6388
2001-01-24,0.6341
2001-01-25,0.6304
2001-01-26,0.6315
2001-01-29,0.6304
2001-01-30,0.6298
2001-01-31,0.6367
2001-02-01,0.6371
2001-02-02,0.6364
2001-02-05,0.6387
2001-02-06,0.6366
2001-02-07,0.6384
2001-02-08,0.6355
2001-02-09,0.6382
2001-02-12,0.6398
2001-02-13,0.6376
2001-02-14,0.6306
2001-02-15,0.6279
2001-02-16,0.6284
2001-02-19,0.6344
2001-02-20,0.6314
2001-02-21,0.6335
2001-02-22,0.627
2001-02-23,0.6265
2001-02-26,0.6283
2001-02-27,0.6349
2001-02-28,0.6387
2001-03-01,0.6392
