Date,Value
2005-04-27,15.7841
2005-04-28,15.8065
2005-04-29,15.8081
2005-05-03,15.6484
2005-05-04,15.7427
2005-05-05,15.7634
2005-05-06,15.6641
2005-05-09,15.583
2005-05-10,15.5913
2005-05-11,15.5118
2005-05-12,15.4266
2005-05-13,15.3579
2005-05-16,15.1857
2005-05-17,15.223
2005-05-18,15.1824
2005-05-19,15.1957
2005-05-20,15.1013
2005-05-23,15.1402
2005-05-24,15.1328
2005-05-25,15.1534
2005-05-26,15.0756
2005-05-27,15.0922
2005-05-31,15.0839
2005-06-01,15.026
2005-06-02,15.0384
2005-06-03,15.0334
2005-06-06,15.0574
2005-06-07,15.146
2005-06-08,15.2197
2005-06-09,15.0508
2005-06-10,15.0069
2005-06-13,14.9076
2005-06-14,14.9565
2005-06-15,15.0566
2005-06-16,15.0558
2005-06-17,15.0939
2005-06-20,15.0963
2005-06-21,15.1145
2005-06-22,15.0847
2005-06-23,15.0583
2005-06-24,15.079
2005-06-27,15.1145
2005-06-28,15.0401
2005-06-29,14.9358
2005-06-30,14.8356
2005-07-01,14.6635
2005-07-04,14.5766
2005-07-05,14.5195
2005-07-06,14.5484
2005-07-07,14.4135
2005-07-11,14.5302
2005-07-12,14.6767
2005-07-13,14.5228
2005-07-14,14.5724
2005-07-15,14.5145
2005-07-18,14.488
2005-07-19,14.3796
2005-07-20,14.315
2005-07-21,14.4466
2005-07-22,14.1449
2005-07-25,14.1481
2005-07-26,14.1258
2005-07-27,14.1349
2005-07-28,14.2076
2005-07-29,14.2715
2005-08-01,14.3476
2005-08-02,14.3516
2005-08-03,14.4287
2005-08-04,14.4098
2005-08-05,14.3776
2005-08-08,14.4924
2005-08-09,14.4678
2005-08-10,14.5652
2005-08-11,14.646
2005-08-12,14.6995
2005-08-15,14.6452
2005-08-16,14.6606
2005-08-17,14.6613
2005-08-18,14.5351
2005-08-19,14.5236
2005-08-22,14.612
2005-08-23,14.5757
2005-08-24,14.5696
2005-08-25,14.5982
2005-08-26,14.6409
2005-08-30,14.448
2005-08-31,14.5715
2005-09-01,14.8064
2005-09-02,14.9026
2005-09-05,14.8889
2005-09-06,14.883
2005-09-07,14.855
2005-09-08,14.8709
2005-09-09,14.8665
2005-09-12,14.7223
2005-09-13,14.7189
2005-09-14,14.7606
2005-09-15,14.5697
2005-09-16,14.5676
2005-09-19,14.5672
2005-09-20,14.5706
2005-09-21,14.6328
2005-09-22,14.4533
2005-09-23,14.3438
2005-09-26,14.3239
2005-09-27,14.2602
2005-09-28,14.2255
2005-09-29,14.2264
2005-09-30,14.2862
2005-10-03,14.1716
2005-10-04,14.2249
2005-10-05,14.2241
2005-10-06,14.3242
2005-10-07,14.2127
2005-10-10,14.1435
2005-10-11,14.0946
2005-10-12,14.1384
2005-10-13,14.117
2005-10-14,14.2485
2005-10-17,14.1549
2005-10-18,14.1058
2005-10-19,14.223
2005-10-20,14.3005
2005-10-21,14.3311
2005-10-24,14.2799
2005-10-25,14.4178
2005-10-26,14.3392
2005-10-27,14.3945
2005-10-28,14.338
2005-10-31,14.28
2005-11-01,14.2358
2005-11-02,14.3215
2005-11-03,14.3259
2005-11-04,14.144
2005-11-07,14.0577
2005-11-08,14.0595
2005-11-09,14.0699
2005-11-10,14.1204
2005-11-11,14.0672
2005-11-14,14.042
2005-11-15,14.001
2005-11-16,13.8546
2005-11-17,13.9067
2005-11-18,13.822
2005-11-21,13.8901
2005-11-22,13.8314
2005-11-23,13.902
2005-11-24,13.9275
2005-11-25,13.8615
2005-11-28,13.9025
2005-11-29,13.8666
2005-11-30,13.974
2005-12-01,13.9714
2005-12-02,13.9744
2005-12-05,14.0316
2005-12-06,14.0377
2005-12-07,13.9933
2005-12-08,14.133
2005-12-09,14.1763
2005-12-12,14.3077
2005-12-13,14.2856
2005-12-14,14.3184
2005-12-15,14.2292
2005-12-16,14.3053
2005-12-19,14.2251
2005-12-20,14.2022
2005-12-21,14.0405
2005-12-22,14.0169
2005-12-23,13.9848
2005-12-28,13.9387
2005-12-29,13.9213
2005-12-30,13.8499
2006-01-03,14.0322
2006-01-04,14.1955
2006-01-05,14.1558
2006-01-06,14.286
2006-01-09,14.2207
2006-01-10,14.2278
2006-01-11,14.201
2006-01-12,14.207
2006-01-13,14.2832
2006-01-16,14.2514
2006-01-17,14.1947
2006-01-18,14.2246
2006-01-19,14.2151
2006-01-20,14.2048
2006-01-23,14.3903
2006-01-24,14.3833
2006-01-25,14.4097
2006-01-26,14.4016
2006-01-27,14.2907
2006-01-30,14.256
2006-01-31,14.3302
2006-02-01,14.3455
2006-02-02,14.3415
2006-02-03,14.1907
2006-02-06,14.106
2006-02-07,14.0238
2006-02-08,14.0234
2006-02-09,14.0076
2006-02-10,14.0417
2006-02-13,14.0185
2006-02-14,13.909
2006-02-15,14.0462
2006-02-16,13.9657
2006-02-17,14.0049
2006-02-20,14.0412
2006-02-21,14.0226
2006-02-22,14.0001
2006-02-23,14.0877
2006-02-24,14.025
2006-02-27,13.9833
2006-02-28,14.0752
2006-03-01,14.0853
2006-03-02,14.0316
2006-03-03,14.0712
2006-03-06,14.0692
2006-03-07,13.9517
2006-03-08,13.9624
2006-03-09,13.9817
2006-03-10,13.8951
2006-03-13,13.9175
2006-03-14,14.045
2006-03-15,14.022
2006-03-16,14.1008
2006-03-17,14.0787
2006-03-20,14.0949
2006-03-21,14.0254
2006-03-22,14.0195
2006-03-23,13.9254
2006-03-24,13.9749
2006-03-27,14.0179
2006-03-28,14.0383
2006-03-29,13.9102
2006-03-30,14.0063
2006-03-31,13.9029
2006-04-03,13.9297
2006-04-04,14.0688
2006-04-05,14.0093
2006-04-06,14.0232
2006-04-07,13.9484
2006-04-10,13.9565
2006-04-11,13.9908
2006-04-12,14.0253
2006-04-13,14.04
2006-04-18,14.2614
2006-04-19,14.3301
2006-04-20,14.2347
2006-04-21,14.2826
2006-04-24,14.2891
2006-04-25,14.321
2006-04-26,14.3275
2006-04-27,14.4548
2006-04-28,14.5639
2006-05-02,14.7362
2006-05-03,14.7418
2006-05-04,14.8115
2006-05-05,14.8948
